business_name,address,mall_center,city,state,zip,mall
LAKE QUASSAPAUG ARCADE,,LAKE QUASSAPAUG,MIDDLEBURY,CT,06762-,True
O P ARCADE,327  WINSTED RD.,,TORRINGTON,CT,06790,True
FAMILY TIME,703  MAIN ST.,,TORRINGTON,CT,06790-3604,False
AUTOMATIC VEND,51  CENTER ST.,,TORRINGTON,CT,06790-5504,False
TIME-OUT,8  BACKUS AVE.,,DANBURY,CT,06810-,False
COMET AMUSEMENTS,184  OSBORNE ST.,,DANBURY,CT,06810-6028,False
ABRAHAM VENDING,141-1/2  WHITE ST.,,DANBURY,CT,06810-6842,False
RANGE,94  MILL PLAIN RD.,,DANBURY,CT,06811-5148,False
SHORE SIDE FUN PARK,45  MAGNOLIA AVE.,,NORWALK,CT,06850-,True
A & D VENDING SERVICE,143  MAIN ST.,S & S AUTOMATIC,NORWALK,CT,06851-3709,False
ARNIE'S PLACE,1365  POST RD. E.,,WESTPORT,CT,06880-5506,True
MANLEN,251  MAIN ST.,,STAMFORD,CT,06901-,False
ATLANTIC TOBACCO,59  DAVENPORT ST.,,STAMFORD,CT,06902-,False
E & L VENDING,80  NORTH ST. W.,,STAMFORD,CT,06902-2239,False
STARDUST VENDING,206  RICHMOND HILL AVE.,,STAMFORD,CT,06902-5629,False
TERMINAL CIGARETTE SERVICE,721  BROADWAY,,BAYONNE,NJ,07002-4746,True
JUST FOR FUN,595  BLOOMFIELD AVE.,,BLOOMFIELD,NJ,07003-,False
PHOENIX AMUSEMENTS,105  FLOYD AVE.,,BLOOMFIELD,NJ,07003-,False
ELECTRIC CIRCUS,619  BLOOMFIELD AVE.,,BLOOMFIELD,NJ,07003-,False
WEAVER ENTERPRISES,88  CLINTON RD.,,FAIRFIELD,NJ,07006-2974,False
CUE VENDING,750  CLIFTON AVE.,,CLIFTON,NJ,07013-1837,False
21st CENTURY AMUSEMENT,65  KINGSLAND AVE.,,CLIFTON,NJ,07014,False
NU-WAY VENDING SERVICE,262  BROAD AVE.,,FAIRVIEW,NJ,07022-,False
N B R VENDORS,1085  BERGEN BL.,,FORT LEE,NJ,07024-1656,False
FUN VALLEY AT TOMAHAWK LAKE,401  OUTWATER LN.,,GARFIELD,NJ,07026-,False
